Date,ASI_Price,Predicted_Downturn,Downturn_Probability,Risk_Level,Actual_Downturn,Actual_Days_to_Drop,Actual_Max_Drop_Pct,Prediction_Correct,Predicted_Loss_1M_Portfolio,Actual_Loss_1M_Portfolio
2025-11-07,23338.25,False,0.0004,STABLE,False,,,True,0,0.0
2025-11-10,23502.59,False,0.0007,STABLE,False,,,True,0,0.0
2025-11-11,23582.16,False,0.0007,STABLE,False,,,True,0,0.0
2025-11-12,23659.7,False,0.0005,STABLE,False,,,True,0,0.0
2025-11-13,23461.46,False,0.0003,STABLE,False,,,True,0,0.0
2025-11-14,23459.75,False,0.0004,STABLE,False,,,True,0,0.0
2025-11-17,23223.68,False,0.0265,STABLE,True,10.0,-5.17,False,0,51741.0
2025-11-18,23051.66,False,0.0022,STABLE,False,,,True,0,0.0
2025-11-19,23029.86,False,0.0061,STABLE,True,10.0,-5.22,False,0,52248.0
2025-11-20,23104.96,False,0.0205,STABLE,True,9.0,-6.96,False,0,69590.0
