date,close,prob_minus_5,prob_minus_10,prob_minus_20,prob_plus_5,prob_plus_10,prob_plus_20,alert_minus_5,alert_minus_10,alert_minus_20,alert_plus_5,alert_plus_10,alert_plus_20,vol_regime,actual_plus_5,actual_plus_10,actual_plus_20,actual_minus_5,actual_minus_10,actual_minus_20
2025-10-21,22783.62,0.151,0.06015,0.01535,0.15715,0.0695,0.0251,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-10-22,22791.07,0.15015,0.0606,0.0174,0.15345,0.0675,0.0237,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-10-23,22850.95,0.13665,0.05505,0.0169,0.1423,0.0613,0.02195,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-10-24,22812.52,0.1328,0.04915,0.01345,0.133,0.05585,0.01995,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-10-27,22788.79,0.1246,0.0493,0.01285,0.13105,0.05635,0.0214,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-10-28,22689.22,0.11615,0.04235,0.01145,0.12585,0.05125,0.01705,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-10-29,22777.12,0.1232,0.04785,0.0131,0.13185,0.05595,0.01895,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-10-30,22839.53,0.12285,0.0453,0.0131,0.1257,0.0526,0.01905,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-10-31,22804.84,0.11475,0.04335,0.0119,0.1211,0.05135,0.01685,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-11-03,22928.31,0.1119,0.0393,0.01035,0.12025,0.0495,0.0174,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-11-04,22953.49,0.1192,0.044,0.01135,0.12665,0.05285,0.01785,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-11-06,23112.48,0.1086,0.0388,0.0116,0.1156,0.04585,0.0152,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-11-07,23338.25,0.1247,0.0476,0.0134,0.13175,0.05625,0.0202,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-11-10,23502.59,0.135,0.05525,0.01615,0.14865,0.06265,0.02235,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-11-11,23582.16,0.1378,0.0526,0.01545,0.14395,0.0601,0.02175,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-11-12,23659.7,0.1269,0.0487,0.0137,0.13665,0.05655,0.019,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-11-13,23461.46,0.11795,0.0439,0.0128,0.13155,0.0553,0.01935,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-11-14,23459.75,0.1466,0.05975,0.0175,0.15875,0.0693,0.0251,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-11-17,23223.68,0.1408,0.05485,0.0166,0.1516,0.06865,0.0232,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,1,0,0
2025-11-18,23051.66,0.1621,0.0687,0.01935,0.1721,0.0776,0.02865,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-11-19,23029.86,0.16005,0.06935,0.0213,0.17045,0.07795,0.02755,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,1,0,0
2025-11-20,23104.96,0.1464,0.0587,0.01645,0.1458,0.0642,0.02145,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,1,0,0
